Tweet index	Label	Tweet text
1	1	@deepinsights19 @PolyRhuagh @NoScienceDenial @mirandadied4u @artisticdream79 @Matt_Clough @eldrave20 @Shannon27765244 @lesgantssexuels @escaped_ferret @VolumeRose @TJMair @yrysbryd @PrinceOfAtheism @BlackPanther963 @Nahdya777 @Snoot07067074 @Atheism_Has_Nil @rjmx @JustBasharico @IngridIngwah @nico_manocchio @heart3626 @Catheri77148739 @Dietpopsicle @Unlockthedoor77 @Dylon59556561 @JimMatisi @SenecaWiser @AprilLigeia @Colossis2 @WowData @rasaputins @Kalex85951747 @ecxzivowocwixza @Atheist_Dragon @collum444 @CodenameParaDee @StanJames1983 @petetaylor97 @AtheistComedy1 @Baxter51557003 @Mogleeone @Wearetheleavers @Ursidae19 @nospikinglish @TruthOls @PJLegba @danjyoungman Fact.  I provide bespoke items, and don't deal with people who disrespect my craft, or ask me to copy the work of others for less money. I often collaborate with artists &amp; scientists around the world, and one of my pieces is in pride of place in a protestant church ().
1	1	: Socialist Ocasio-Cortez enjoys the benefits of a Capitalist society, excoriates #FDR, #Reagan and #capitalism, says political moderates are #Meh!😑  The goal of socialism is communism. #VladimirLenin #SXSW #aoc  https://t.co/LHEtUD4RM7
1	1	@lifeasaswiftie_ ❤. Sorry my heart should be black, but this is the only color I could find.
1	1	This would be  then:  Trying to check @UKPowerNetworks website after 'brown out' then total outages in #Cambridge... and their website is down. 😄
1	1	@jsexton9 @RawStory So that statement you made shows that you're a racist too.
1	1	@ImWithHer33 @TheAtheistPig  In the bible slavery is accepted as normal. Women are second rank. Homosexuality is condemned.  There is a drive behind why we have hospitals. Social acceptance is a secondary small one. Bottom-up freedom, equality, fairness, merit, such are the primary drivers.
1	1	@quirkyuser All of these people: "I don't want others to know I have it." (Posted on social media)  #keepitsecretinpublic #yellingyoursecret #idontwantattentionyesido
1	1	Look at this pic
1	1	Random thought...AOC and Woody from Cheers. Remember the end of his story line?   https://t.co/s59KwlO38H
1	1	@JaniceToy @BBCFrontRow @rickygervais What, you mean like you being offended at other people being offended?  That seems a bit, well, pathetic?   https://t.co/EUIKcgHjSD
1	1	Appalled by the blatant #Islamophobia and #racism displayed here. Oh the  #foxnews #heejab @JudgeJeanine @IlhanMN @SpeakerPelosi https://t.co/hXRH64unbU
1	1	@beck_sinar @WaterAidUK @wateraid Did she collect the rain water? Cc: @zenrainman #rainwaterclub @WorldToilet #worldwaterday @WaterAidAus
1	1	Hahaha i get shit off man ure fans for us ‘bottling winning the league’ and their bottling fourth
1	1	When dancing is in your blood #comopapa  https://t.co/pFUU7uF49A
1	1	@nowthisnews The BIGGER picture? Western forces battered the #IS territory via a specious terrorist narrative. Few in Western media understand WHY a #caliphate is even developed or pursued. Many young muslims just want freedom from racism. So you make them stateless?  #Islamophobia
1	1	If you want to know who controls you, find out who you can not criticize - Voltaire  #Truth
1	1	On many files Trudeau is doing exactly what progressives have longed for. An astonishing amount pick 1 or 2 others to be angry about.
