Tweet index	Label	Tweet text
1	0	We all have to be more vigilant. these companies trying to rig our system and the politicians that are anxious to deploy them. #ElectionFraud #resist #SaturdayThoughts #SaturdayMotivation #saturdaynight   #Resistance #Resisters #Resistencia #ResistersForum #RESISTER #FBResistance https://t.co/2Cr53YRXpy
1	0	@DonaldJTrumpJr @realDonaldTrump A must see....the Democratic coup ...feeding on itself. https://t.co/GWxkoY3zyn
1	0	@AaronSuttles @unclejessetmb That Borough should be an interesting taste. I sampled the Angels Envy rye/rum finished and it was heavenly.
1	0	@KamalaHarris Because not everyone can sleep their way to the bottom https://t.co/vIkdgkFA7o
1	0	@LMplusG NO shit. This guy is a user. As in using the Democratic Party. They are stupid to let him run. Change the rules. If not, this will happen all the time He says he is an https://t.co/jsY3bmsUfh He is a lifelong politician.
1	0	Join the WatchUGot Family! With phase 2 of our Crowdsale going on now, there’s no better time to get involved and get your WUG Tokens. We are here to help if you have questions! #blockchain #charity #challenge #app #crowdsale #ethereum #fintech #wugcrew #watchugot #wugtoken https://t.co/ucx706T05m
1	0	You're supposed to stomp your feet and wave your hands in the air to scare them away if they're near you.  So just like, pretend you're at a Queen concert and you'll be fine. -@katnyko  https://t.co/HWEOBhw8lt
1	0	@Jassicrea @Oxdowne Brilliant piece! Loved the line ‘it works like Swiss cheese’. It’s a hard topic to tackle, but well done telling it from the different set of eyes. #FirstDoNoHarm
1	0	they want jungkoo-  I’m calling the police — stream crown https://t.co/12BKIYCOZr
1	0	I missed the start of #DragMeDownTheAisle but I’m so watching at midnight so I can see @BeBeZaharaBenet @ThorgyThor @AlexisLives and @jujuboston ❤️
1	0	i got my nails done for the first time in years, and all the trivial tasks in my life are so difficult to do lmao https://t.co/8SYL5hyy8W
1	0	I wore totally flat shoes for the first time in a WHILE yesterday and my calves HURT SO BAD. WHY THIS
1	0	never been so thankful for a break, Dan, gotta shit, along with the onions and peppers from last night #livepd
1	0	From what I can gather from the DFW area, @AOC and @SenWarren have won the #SXSW19 primary so far. #SXSW
1	0	This bitch had the audacity to order 4 teas from me. 4 fucking teas. You better be floating out of here hoe.
1	0	@JulieYAli Setting us back to the what 50’s 👍
1	0	I was gettin gas and thought about getting back in the car but decided The cold wouldn’t beat me today. https://t.co/nfOaL7Eomv
1	0	The visiting nurse said she’s never seen a bathroom so clean. 💁🏻‍♂️
1	0	do i do the vm😳
1	0	The Good Place @NetflixLAT
1	0	@MasonSmall13 @MasonSmaII Hangin with the boys... what about @MasonSmaII
1	0	“... show me where Jesus told Caesar how to run Rome.”  Falwell has just preached a message that negates the ethical and moral exigencies of Christianity.” He has effectively placed Caesar above Jesus, Trump above God. https://t.co/qLbbNB7eVO
1	0	jeff wittek from the vlog squad &gt;&gt;&gt; https://t.co/3B5TF3eEG5
1	0	@7BTSaf the real question is: do people who eat cooked tomatoes deserve rights https://t.co/RrHF6mvd9M
1	0	Additionally: FUCK I look like a bottom of  the internet!
1	0	my cat keeps following me around the house. she definitely wants something. i feel used :((
1	0	@TrueEyeTheSpy Is it wrong that I wish there would come a movie or video where we see that witch and also the others, trying to hide or run away? 🙈
1	0	The Aztec go down 1-2-3 in the second. The Wolfpack are up 1-0 heading to the third.
1	0	I don’t like talking on the phone when I can meet up in person
1	0	Today someone said "I hope that one day you will talk about me the way you talk about avocados from HEB" and I realized that my greatest lessons in love were taught to me by a grocery store.
1	0	@JellyIntoAJam Yeah. Very true. Just another prime year of Can down the drain.
1	0	Twitter is like screaming on the streets of New York...no one cares and they just keep walkin'
1	0	@ZaiLetsPlay I only have the dark halo! And I rarely play! Could you respond! I would make me so happy!
1	0	The way Michigan State is able to clamp down every single game in the second half is absolutely unbelievable.   Cc: @SpartanAvenueFS
1	0	@HyperboreanWulf I wish the sky cries today
1	0	I'm a bit annoyed that I don't get those 'Blah Blah has blocked you' messages people retweet all the time. I have certainly insulted and offended hundreds of idiots and haters over the last three or four years. Is there a setting thingy I should have ticked or crossed?
1	0	@ErikssonFrogs Thanks for the support!!
1	0	@TheFIamingSquid What’s the move
1	0	New on Ebay for the United States Imac Apple iMAC 27" 2011 3.4GHz Intel Core i7 Quad Core 8GB 1TB HighSierra Office  https://t.co/XRdrTkpY3Y https://t.co/iBqzeVZFdr
1	0	The suns back and im still sad, i wanna refund
1	0	I don’t fw the whole pushing a person away to pull them closer aspect of things. to supposedly “see how hard they really fw you” push me away, bitch ima stay gone. like somebody supposed to keep fighting for y’all despite y’all bullshit who tf y’all think y’all is
1	0	We had an amazing time ministering at two prisons tonight. Setting the captives free! https://t.co/N3yfflBn3K
1	0	@buckjunkieMN Thank you.  The recipe is in the link below the commentary
1	0	@GarlandGloria @chriswwright1 I still here ..will call you in the am..😘😘😘
1	0	@SeekonkPD I am very grateful to have had the opportunity to be associated with Bristol County Police Chiefs. Their support and friendship will never be forgotten. I wish them and their agencies the best always. Stay safe.
1	0	I'm sorry I just keep laughing. I think Cheryl suffocated that baby. OMG the way she keeps holding it! #HeartOfDarkness
1	0	sometimes the light in us is swallowed by the darkness
1	0	“You’re genuine and love hard and a beautiful individual” 😭😭 my heart!  Has to be the nicest thing I’ve been told all weekend
1	0	the people have decided https://t.co/Ar4dwMkHI6
1	0	@TheChos3n0ne He flinches, waiting for the pain to return. His mind is screaming to flee, but his pride roots his feet to the floor.
1	0	@liz_schiller Thanks for the suggestion!
1	0	The last thing I need is @FreaksterXave spouting nonsense in my dms 😶
1	0	@MichaelSSmithII No, or at least probably not. This is a well known spam. What happens is that a popular site (for example Yahoo) gets hacked and email addresses and passwords are sold on the dark web. Criminals then fake your email account (easily done). Ignore it.
1	0	Even tho she refuses to get off my chef bag, Sookie is just the cutest 🖤 https://t.co/vj5NjOLauj
1	0	@themindofamrita can’t break the tradition!! it’ll be a bad omen
1	0	@BoltsJolts Bruins have the worst sh% in the league so 🤷🏻‍♂️
1	0	1. You are too nice, thank you sm! 2. you do NOT annoy me, you're very sweet and funny and I really miss talking with you like we did in summer School 3. If we're being honest, ur the cool one out of the 2 of us https://t.co/xIENCUXfIJ
1	0	And all the sugar daddies around the world https://t.co/KtIsSmxCmP
1	0	Busy place CTG! Heroes opened last night and Silver lining is rehearsing g on the floor today ...Full cast and ready to hit the scripts
1	0	Stormy SoCal surf Saturday soulmates. Be good to your heart, body &amp; soul friends. These are pressurized times. Make the time to listen to the sounds around. https://t.co/792WgLuvs5
1	0	Watching #Brooklyn99 again and episode 2 noticed Gina wearing a tie because she wanted to be a part of the team and I almost cried. @chelseaperetti https://t.co/24z71osKz1
1	0	3 missed buckets for UCLA to start the second
1	0	@mybellnoelle My family just lost my 34 year old sister in December. My mom then had open heart surgery in Jan. One of my brothers hadn’t made time to see my mom until just the other day. Like a mint after her open heart surgery... like what?
1	0	@JerryFalwellJr @curley_jake @realDonaldTrump Jerry, thank you for being honest about what the religious right is really all about. Now give up your tax exemption.
1	0	@Prowl8413 @HelenAngel @captainmarvel Prowl when you do wait for the credits to end and then the credits after it haha
1	0	@NancyLeeGrahn Does anyone else think Melania is paying for #FakeMelania and dumb Donnie doesn’t even notice she’s not the real one?
1	0	"Wherever the presence of God is, show up! Be present. Be there at church" -Ps. Vincent Vicencio
1	0	I’m surprised no one has considered that this probably is Melania, just without the Botox😂 https://t.co/LKGPJx9Qln
1	0	@boomer_golden @HillaryWarnedUs @BernieSanders I am enjoying seeing him shoot himself in the face - this vague-angry campaign messaging won’t get  far! He is such a tool.
1	0	“Find a leakers” this would make an excellent video game I’m writing the code right now https://t.co/eeEy4pXyZa
1	0	my first beat i posted vs the one i posted last week https://t.co/f0Fg2PXEid
1	0	Michael Jackson will be forever the greatest artist to ever live and whoever disagrees doesn't know real music.
1	0	@IGN Goose was there. For like a part of the film. Honestly their importance is lackluster to the overall film... you guys must be payed by Disney
1	0	Earlier, I was counting on the gym to help clear my mind and spend some of my nervous energy. It worked, but it’s only returned. 😬
1	0	@nathanm @NewshubNationNZ @MomoStJohn @simonjbridges How would you design a good capital gains tax then? What are the essential features?
1	0	HandGuards - Protection And Lightweight  . barkbustershandguards make sure their HandGuards are built stylish, durable, light and easy to fit.  . On Board The #ktm  barkbustershandguards... https://t.co/VwTaZmKZTr
1	0	@TRHLofficial Zing!
1	0	If you combine all of Murray’s saves they’d equal the Save of the Next Three Years
1	0	Got the chance to go to the Juicy Monthly today. Entered in BBTAG and Smash Ultimate. Ended the day with a 2-2 in Smash U and a 3-2 in BBTAG. Also am slightly less scared of the Murukumo unit now, which is a great improvement from my last outing
1	0	tired of being alone ALL the time
1	0	Maria Ressa spouting lines about honesty. Does she realize that she has crossed the line herself when she accepted Omidyar money and tried her darned best to hide it? Does she think she is honorable? 🤔🤔🤔 https://t.co/15Tk3dAu6P
1	0	@itsBayleyWWE @ScottDawsonWWE @DashWilderWWE @REALBobbyRoode @WWEGable Hope you and Shasha could face The Shield
1	0	@VALENTlNEPORTER it’ll be the same thing when rich the kid said pu—- instead of pussy in solita
1	0	@CindyrellaOG The parkour episode 😂😂
1	0	@CamAtkinson13 is the heartbeat of this team.  Making us proud!  #CBJ
1	0	Republicans have always promoted Socialism for the wealthy and Corporations..only anti socialism in  meager $$$ for the Middle Class..never vote for the hypocritical Red Party...Republicans! https://t.co/FgPO51unzQ
1	0	@uniquebeautyy1 When I wake up and see the blunt https://t.co/RhGKi5eovQ
1	0	@OneVoiceUS @pasawford @jackson4visalus @4chloebear @lmwashburn @BridgetOShea3 @gdimelow @NoortjeSchoute Weird, Hillary was condemned the entire election season (and to date, frankly) over her husband's blow job. I never heard the right defend her by saying "we're all sinners." https://t.co/XPmKEV3vD0
1	0	Horny people have no rights! Horny people are NOT protected under the constitution! If you are horny I WILL find you, and then you will be sorry buster! Unfollow me right fucking now if you are horny, have ever been horny, or ever will be horny!
1	0	Ja is automatic around the basket
1	0	I was wondering why the crowd mic got super quiet all of a sudden.  ESPN down mixing the crowd like it's a bad episode of smackdown https://t.co/uzyatCb5v1
1	0	mom: i won't pay you the hairdresser i don't have money  also mom: hi son i bought a bunch of food for you that you didn't ask for
1	0	@ChrythmDev Btw the way man when I apply I do not ask like crazy when are you gonna read it. My user again is keessssdh just a reminder! :)
1	0	@realannapaulina 😂 every major city here has been blue it is inevitable that Texas go the way of Houston and we’ve been blue ! Eat ur heart out people like u r making people like me turn out and vote against y’all clowns.
1	0	To be fair,  A Bible signed by the Anti-Christ is a real collector's item. 😁
1	0	"At that time they shall call #Jerusalem the throne of the Lord; and all the nations shall be gathered unto it, to the name of the Lord, to Jerusalem: neither shall they walk any more after the imagination of their evil heart." (Jeremiah 3: 17) https://t.co/B8VbW9swJH
1	0	@OleHenriksen @alexuswiggins02 u are the best niece EVER...such a cool kid😘 #InternationalWomensDay
1	0	3rd media timeout of the 2nd half.  #9 MSU leads #6 Michigan 59-52.  7:45  The Spartans have 12 turnovers.
1	0	@ThatEricAlper @chris_steller The Great Gig in the Sky
1	0	She says, "We were kids. We were all assholes." I've thought about it over and over since I heard her narrate it. The kindness of it, the confidence of it, the clarity of it. And I've thought about stories in my own life: We were kids (or closer to it). We were all assholes.
1	0	@Just_Wavey Whats the right buttons then? Lemme push thoses
1	0	He can smell the Kraft cheese and he's upset.      “Oh, buddy. . What did they do to you??” https://t.co/biPnYBVFxC
1	0	The Fix by Elysian Brewing Company found at The Flying Hound. YASSSSSS.
1	0	@DuckyTetzloff @jpossumhales @prayingmedic My friends think I'm crazy! And won't even look at Q. I always say just look and let me know what u think. They won't even look. But I got the people at work looking.
1	0	Its always be niggas named jay Jody ace ty an Dre be the niggas that’s  secretive an on the side whole time 🤞🏾
1	0	Secret power of the Police SUV in #Blackout https://t.co/lI0epvhrNL
1	0	@BTS_twt YOURE THE CUTEST OH MY GOD!!
1	0	Honestly tho I will always prefer nonevil "villian" characters over evil ones. It's much more interesting to see how people with good intentions can end up doing really bad things and ending up on the wrong side.
1	0	Carleton’s Canadian Foreign Policy Journal Examines the Canada-China Relationship https://t.co/ApygGAPsuj
1	0	@SaraCarterDC @SpeakerPelosi The Dems know they can no longer win an election honestly. Now the can only win by stealing votes and paying illegals to vote for them.
1	0	I don't know why I'm feeling nostalgic so early in the morning but, I've been listening to old school Linkin Park since 4am. ALL THE FEELS!
1	0	@kirstentk @NPR Hey, thanks for sharing this! It's great to have a visual to go with the article. I appreciate it.
1	0	@mikewhiteatcj @HarryJayRob @historic_ly It's a twitter post, can't fit it all. People on the this side of the pond have been getting screwed by everyone for 500 years. I just think more recent and "we are directly responsible for this" examples, hit political homeruns. I know the longer history too. It's a disgrace.
1	0	the best friendship https://t.co/FNFaMLRVTV
